ID,UNITID,OPEID,OPEID6,INSTNM
s,100751,105100,1051,University of Alabama
s,106397,110800,1108,University of Arkansas
s,100858,100900,1009,Auburn University
s,134130,153500,1535,University of Florida
s,139959,159800,1598,University of Georgia
s,157085,198900,1989,University of Kentucky
s,159391,201000,2010,Louisiana State University
s,176017,244000,2440,University of Mississippi
s,176080,242300,2423,Mississippi State University
s,178396,251600,2516,University of Missouri
s,218663,344800,3448,Universityof South Carolina
s,221759,353000,3530,University of Tennessee
s,228723,363200,3632,Texas A&M University
s,221999,353500,3535,Vanderbilt University
